cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
         1,-7.376210298E-03, 1.300624805E-03, 1.471999884E-01, 3.401036952E+02
         1,-7.376210764E-03,-1.300624921E-03, 1.472000033E-01, 3.455752809E+02
         1,-6.486530881E-03,-3.745000111E-03, 1.472000033E-01, 3.519899093E+02
         1,-4.814479500E-03,-5.737673491E-03, 1.472000033E-01, 3.580250119E+02
         1,-2.561730798E-03,-7.038297597E-03, 1.472000033E-01, 3.627778531E+02
         1,-2.167840213E-11,-7.489999756E-03, 1.471999884E-01, 3.660233574E+02
         1,-1.307247885E-06, 7.489999756E-03, 1.607999951E-01, 3.119305987E+02
         1,-2.561730798E-03, 7.038297597E-03, 1.607999951E-01, 3.167616096E+02
         1,-4.814479500E-03, 5.737672094E-03, 1.607999951E-01, 3.228231037E+02
         1,-6.486530416E-03, 3.745000809E-03, 1.607999951E-01, 3.278573811E+02
         1,-7.376212161E-03, 1.300626085E-03, 1.607999951E-01, 3.327171819E+02
         1,-7.376211230E-03,-1.300625387E-03, 1.607999951E-01, 3.368556451E+02
         1,-6.486530881E-03,-3.745001275E-03, 1.607999951E-01, 3.422596874E+02
         1,-4.814479034E-03,-5.737673026E-03, 1.607999802E-01, 3.481579738E+02
         1,-2.561730566E-03,-7.038297597E-03, 1.607999951E-01, 3.530199082E+02
         1,-2.167795631E-11,-7.490000222E-03, 1.607999951E-01, 3.565656308E+02
         1,-1.307248453E-06, 7.489999291E-03, 1.744000018E-01, 3.090029478E+02
         1,-2.561730798E-03, 7.038297132E-03, 1.744000018E-01, 3.132155025E+02
         1,-4.814479500E-03, 5.737672560E-03, 1.744000018E-01, 3.182972086E+02
         1,-6.486530416E-03, 3.745000344E-03, 1.744000018E-01, 3.221589968E+02
         1,-7.376212627E-03, 1.300626085E-03, 1.744000018E-01, 3.259621255E+02
         1,-7.376211230E-03,-1.300625154E-03, 1.744000018E-01, 3.293004966E+02
         1,-6.486530881E-03,-3.745001042E-03, 1.744000018E-01, 3.338546587E+02
         1,-4.814479034E-03,-5.737673026E-03, 1.744000018E-01, 3.395329942E+02
         1,-2.561730566E-03,-7.038297597E-03, 1.744000018E-01, 3.445346745E+02
         1,-2.167940653E-11,-7.490000222E-03, 1.744000018E-01, 3.483751677E+02
