
[Name]
inner_tube inner_tube_inner_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Surface Heat Transfer Coefficient [ W m^-2 K^-1 ], Yplus
3.26619633e-02, 5.85111640e-02, 2.79012304e-02, 0.00000000e+00, 1.20407611e-01
3.26055624e-02, 5.85460514e-02, 2.79012136e-02, 0.00000000e+00, 1.20647259e-01
3.33414525e-02, 5.81744537e-02, 2.88721509e-02, 0.00000000e+00, 1.14950575e-01
3.32735889e-02, 5.81885651e-02, 2.88722143e-02, 0.00000000e+00, 1.14499286e-01
3.32062915e-02, 5.82051277e-02, 2.88722701e-02, 0.00000000e+00, 1.15741380e-01
3.31394263e-02, 5.82233705e-02, 2.88722664e-02, 0.00000000e+00, 1.16625138e-01
3.30732167e-02, 5.82438223e-02, 2.88723018e-02, 0.00000000e+00, 1.17132582e-01
3.30078043e-02, 5.82666397e-02, 2.88722850e-02, 0.00000000e+00, 1.17485471e-01
3.29429992e-02, 5.82911372e-02, 2.88722608e-02, 0.00000000e+00, 1.17716067e-01
3.28791328e-02, 5.83178699e-02, 2.88722459e-02, 0.00000000e+00, 1.17800400e-01
3.28161642e-02, 5.83466291e-02, 2.88721919e-02, 0.00000000e+00, 1.17766120e-01
3.27541269e-02, 5.83772436e-02, 2.88721621e-02, 0.00000000e+00, 1.17488623e-01
3.26932259e-02, 5.84099703e-02, 2.88720950e-02, 0.00000000e+00, 1.16906390e-01
3.26332338e-02, 5.84442876e-02, 2.88720075e-02, 0.00000000e+00, 1.15825236e-01
3.25746723e-02, 5.84808365e-02, 2.88719703e-02, 0.00000000e+00, 1.15894981e-01
3.33403908e-02, 5.80962375e-02, 2.98429541e-02, 0.00000000e+00, 9.59188044e-02
3.32698226e-02, 5.81109077e-02, 2.98430435e-02, 0.00000000e+00, 9.59248021e-02
3.31997983e-02, 5.81279248e-02, 2.98431013e-02, 0.00000000e+00, 9.73479748e-02
3.31302509e-02, 5.81467859e-02, 2.98431031e-02, 0.00000000e+00, 9.85500664e-02
3.30614224e-02, 5.81680611e-02, 2.98431441e-02, 0.00000000e+00, 9.93010625e-02
3.29934210e-02, 5.81917651e-02, 2.98431255e-02, 0.00000000e+00, 9.98480469e-02
3.29260901e-02, 5.82173280e-02, 2.98431013e-02, 0.00000000e+00, 1.00335881e-01
3.28597426e-02, 5.82452044e-02, 2.98430808e-02, 0.00000000e+00, 1.00671113e-01
3.27943489e-02, 5.82752302e-02, 2.98430175e-02, 0.00000000e+00, 1.00905411e-01
3.27299237e-02, 5.83071634e-02, 2.98429728e-02, 0.00000000e+00, 1.00942366e-01
3.26668061e-02, 5.83415106e-02, 2.98429038e-02, 0.00000000e+00, 1.00631230e-01
3.26046608e-02, 5.83775192e-02, 2.98428070e-02, 0.00000000e+00, 9.98737589e-02
3.25438492e-02, 5.84155805e-02, 2.98427343e-02, 0.00000000e+00, 1.00118823e-01
3.33393440e-02, 5.80180176e-02, 3.08137648e-02, 0.00000000e+00, 5.95794357e-02
3.32660675e-02, 5.80332465e-02, 3.08138803e-02, 0.00000000e+00, 6.07960261e-02
3.31933275e-02, 5.80507182e-02, 3.08139399e-02, 0.00000000e+00, 6.27667755e-02
3.31210978e-02, 5.80701940e-02, 3.08139436e-02, 0.00000000e+00, 6.47413582e-02
3.30496542e-02, 5.80922961e-02, 3.08139920e-02, 0.00000000e+00, 6.60878420e-02
3.29790562e-02, 5.81168793e-02, 3.08139715e-02, 0.00000000e+00, 6.72011301e-02
3.29092033e-02, 5.81435077e-02, 3.08139473e-02, 0.00000000e+00, 6.82993308e-02
3.28403786e-02, 5.81725314e-02, 3.08139194e-02, 0.00000000e+00, 6.92513585e-02
3.27725969e-02, 5.82038835e-02, 3.08138542e-02, 0.00000000e+00, 7.01125339e-02
3.27058285e-02, 5.82372099e-02, 3.08137983e-02, 0.00000000e+00, 7.08890632e-02
3.26404199e-02, 5.82730323e-02, 3.08137145e-02, 0.00000000e+00, 7.13867247e-02
3.25761400e-02, 5.83107658e-02, 3.08136139e-02, 0.00000000e+00, 7.14238063e-02
3.25130560e-02, 5.83503060e-02, 3.08135040e-02, 0.00000000e+00, 7.25131333e-02
3.33385132e-02, 5.79398274e-02, 3.17845792e-02, 0.00000000e+00, 6.72192350e-02
3.32624614e-02, 5.79555556e-02, 3.17847133e-02, 0.00000000e+00, 6.80751279e-02
3.31869349e-02, 5.79734854e-02, 3.17847766e-02, 0.00000000e+00, 6.99067563e-02
3.31119634e-02, 5.79935983e-02, 3.17847840e-02, 0.00000000e+00, 7.13368133e-02
3.30378376e-02, 5.80165461e-02, 3.17848399e-02, 0.00000000e+00, 7.26157948e-02
3.29645947e-02, 5.80420494e-02, 3.17848139e-02, 0.00000000e+00, 7.38885850e-02
3.28921489e-02, 5.80697581e-02, 3.17847915e-02, 0.00000000e+00, 7.50008076e-02
3.28207836e-02, 5.80999590e-02, 3.17847617e-02, 0.00000000e+00, 7.61561096e-02
3.27505507e-02, 5.81326783e-02, 3.17846909e-02, 0.00000000e+00, 7.73205534e-02
3.26813757e-02, 5.81674427e-02, 3.17846313e-02, 0.00000000e+00, 7.83923715e-02
3.26136239e-02, 5.82047850e-02, 3.17845345e-02, 0.00000000e+00, 7.95155689e-02
3.25471573e-02, 5.82442991e-02, 3.17844301e-02, 0.00000000e+00, 8.00713375e-02
3.24818827e-02, 5.82855791e-02, 3.17843035e-02, 0.00000000e+00, 8.23527351e-02
3.33377384e-02, 5.78618199e-02, 3.27554084e-02, 0.00000000e+00, 1.05731845e-01
3.32589187e-02, 5.78778461e-02, 3.27555463e-02, 0.00000000e+00, 1.05544083e-01
3.31806578e-02, 5.78962304e-02, 3.27556133e-02, 0.00000000e+00, 1.06841229e-01
3.31029855e-02, 5.79169542e-02, 3.27556208e-02, 0.00000000e+00, 1.07205570e-01
3.30262221e-02, 5.79407327e-02, 3.27556841e-02, 0.00000000e+00, 1.07883930e-01
3.29503715e-02, 5.79671524e-02, 3.27556618e-02, 0.00000000e+00, 1.08776420e-01
3.28753702e-02, 5.79958931e-02, 3.27556357e-02, 0.00000000e+00, 1.09383292e-01
3.28015015e-02, 5.80272451e-02, 3.27555984e-02, 0.00000000e+00, 1.10127695e-01
3.27288583e-02, 5.80613054e-02, 3.27555276e-02, 0.00000000e+00, 1.10996753e-01
3.26573104e-02, 5.80974706e-02, 3.27554569e-02, 0.00000000e+00, 1.11576885e-01
3.25872377e-02, 5.81363030e-02, 3.27553451e-02, 0.00000000e+00, 1.12233691e-01
