cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
        32,-2.868016018E-04,-7.866268978E-03, 6.584539264E-02, 4.720286012E+02
        33,-2.610964875E-04,-7.798777428E-03, 6.596486270E-02, 4.705647124E+02
        34,-1.954842010E-04,-7.885132916E-03, 6.599900126E-02, 4.705763004E+02
        35,-3.208766284E-04,-7.899274118E-03, 6.591829658E-02, 4.720872463E+02
        36,-2.605410118E-04,-7.900846191E-03, 6.598291546E-02, 4.705961444E+02
        37,-2.868016309E-04,-7.866268978E-03, 6.596948206E-02, 4.705961444E+02
        38,-3.208766284E-04,-7.899274118E-03, 6.596053392E-02, 4.706563121E+02
         1,-3.908081635E-05, 7.956407033E-03, 7.964173704E-02, 3.365802077E+02
         2,-1.169676907E-04, 7.951683365E-03, 7.963792980E-02, 3.365998539E+02
         3,-2.636978570E-05, 7.964120246E-03, 7.931954414E-02, 3.373393464E+02
         4,-5.210754171E-05, 7.951664738E-03, 7.901554555E-02, 3.373393464E+02
         5,-1.940462680E-04, 7.943819277E-03, 7.963098586E-02, 3.366428966E+02
         6,-1.169674288E-04, 7.951683365E-03, 7.922483981E-02, 3.373596441E+02
         7,-2.573775600E-05, 7.941225544E-03, 7.871039212E-02, 3.381423614E+02
         8,-2.413848852E-04, 7.937733084E-03, 7.962521166E-02, 3.367094056E+02
         9,-1.940461225E-04, 7.943819277E-03, 7.939571142E-02, 3.374041652E+02
        10,-2.413848269E-04, 7.937733084E-03, 7.954666018E-02, 3.374729947E+02
        11,-2.411346650E-04, 7.911776192E-03, 7.954664528E-02, 3.327235494E+02
        12,-1.751450909E-04, 7.815524936E-03, 7.950367033E-02, 3.325991282E+02
        13,-7.799750165E-05, 7.734365296E-03, 7.962173223E-02, 3.324225690E+02
        14,-8.134097880E-05, 7.933680899E-03, 7.871101797E-02, 3.332295579E+02
        15,-1.803608175E-04, 7.902433164E-03, 7.920139283E-02, 3.326622569E+02
        16,-2.062888088E-04, 7.878466509E-03, 7.942795008E-02, 3.326622569E+02
        17,-2.007927978E-04, 7.844575681E-03, 7.950363308E-02, 3.326622569E+02
        18,-2.411347232E-04, 7.911776192E-03, 7.962519675E-02, 3.321513972E+02
        19,-1.034099187E-04, 7.801956031E-03, 7.929076999E-02, 3.325554163E+02
        20,-1.293392124E-04, 7.782429922E-03, 7.950288802E-02, 3.325554163E+02
        21,-1.038375776E-04, 7.748933509E-03, 7.962167263E-02, 3.325554163E+02
        22,-1.751446252E-04, 7.815524004E-03, 7.962688059E-02, 3.320293542E+02
        23,-3.887949060E-05, 7.732362486E-03, 7.959598303E-02, 3.323998596E+02
        24,-3.861629739E-05, 7.923865691E-03, 7.871020585E-02, 3.332082214E+02
        25,-1.289699430E-04, 7.869449444E-03, 7.906498760E-02, 3.326207739E+02
        26,-1.071627121E-04, 7.903880440E-03, 7.888007909E-02, 3.326207739E+02
        27,-8.143376908E-05, 7.899678312E-03, 7.880304009E-02, 3.326207739E+02
        28,-1.803605119E-04, 7.902433164E-03, 7.963830978E-02, 3.320916173E+02
        29,-2.006061986E-04, 7.868033834E-03, 7.962972671E-02, 3.320916173E+02
        30,-2.263544156E-04, 7.878069766E-03, 7.962519675E-02, 3.320916173E+02
        31,-3.881256998E-05, 7.786234841E-03, 7.925271988E-02, 3.325340775E+02
        32,-1.163766647E-04, 7.795938756E-03, 7.963185757E-02, 3.319867052E+02
        33,-2.591953489E-05, 7.731756195E-03, 7.962403446E-02, 3.318335288E+02
        34,-3.868589556E-05, 7.872865535E-03, 7.882399857E-02, 3.326000041E+02
        35,-1.160303655E-04, 7.886705920E-03, 7.964723557E-02, 3.320511531E+02
        36,-2.583012247E-05, 7.803491782E-03, 7.964115590E-02, 3.319658922E+02
        37,-5.174965554E-05, 7.768977433E-03, 7.963193208E-02, 3.319658922E+02
        38,-3.867606938E-05, 7.888236083E-03, 7.965439558E-02, 3.320309069E+02
         1,-2.428860898E-04,-7.937434129E-03, 7.962536067E-02, 4.331353284E+02
         2,-2.428860753E-04,-7.937434129E-03, 7.955437899E-02, 4.349466909E+02
         3,-1.962128881E-04,-7.943471894E-03, 7.963100076E-02, 4.331051821E+02
         4,-1.962128154E-04,-7.943471894E-03, 7.940308750E-02, 4.349118428E+02
         5,-1.182741107E-04,-7.951521315E-03, 7.963799685E-02, 4.330793856E+02
         6,-1.182739070E-04,-7.951520383E-03, 7.922662795E-02, 4.348828284E+02
         7,-3.951757390E-05,-7.956364192E-03, 7.964178175E-02, 4.330580179E+02
         8,-2.665515603E-05,-7.964068092E-03, 7.931958884E-02, 4.348597070E+02
         9,-5.268992027E-05,-7.951606996E-03, 7.901564986E-02, 4.348597070E+02
        10,-2.603476059E-05,-7.941219956E-03, 7.871044427E-02, 4.367210784E+02
        11,-2.614647929E-05,-7.732083555E-03, 7.959090173E-02, 4.445225518E+02
        12,-3.905794802E-05,-7.923421450E-03, 7.871036977E-02, 4.464227044E+02
        13,-2.609059629E-05,-7.803484332E-03, 7.913096994E-02, 4.445895508E+02
        14,-5.176953346E-05,-7.768976036E-03, 7.937875390E-02, 4.445895508E+02
        15,-7.791585813E-05,-7.768550888E-03, 7.941090316E-02, 4.445895508E+02
        16,-2.614647929E-05,-7.732083555E-03, 7.962447405E-02, 4.428741345E+02
        17,-8.221135795E-05,-7.933654822E-03, 7.871117443E-02, 4.464268150E+02
        18,-1.175005891E-04,-7.796463091E-03, 7.937692851E-02, 4.445918376E+02
        19,-3.909982479E-05,-7.872420363E-03, 7.882267237E-02, 4.446202043E+02
        20,-2.609071635E-05,-7.803484332E-03, 7.964140177E-02, 4.429338942E+02
        21,-5.223719563E-05,-7.768966723E-03, 7.963212579E-02, 4.429338942E+02
        22,-1.757168066E-04,-7.816147991E-03, 7.950688154E-02, 4.445936863E+02
        23,-1.303492318E-04,-7.869421504E-03, 7.907043397E-02, 4.446221479E+02
        24,-1.042066215E-04,-7.899219170E-03, 7.888265699E-02, 4.446221479E+02
        25,-1.082501258E-04,-7.933138870E-03, 7.879085839E-02, 4.446221479E+02
        26,-1.175008219E-04,-7.796394173E-03, 7.963197678E-02, 4.429341807E+02
        27,-3.909424413E-05,-7.888226770E-03, 7.965447754E-02, 4.429609629E+02
        28,-1.823709026E-04,-7.902392186E-03, 7.921390980E-02, 4.446233834E+02
        29,-2.015836653E-04,-7.868012413E-03, 7.943844050E-02, 4.446233834E+02
        30,-2.276139712E-04,-7.880511694E-03, 7.955437899E-02, 4.446233834E+02
        31,-1.757168357E-04,-7.816148922E-03, 7.962713391E-02, 4.429321564E+02
        32,-1.172883276E-04,-7.886679843E-03, 7.964716852E-02, 4.429609729E+02
        33,-2.426053252E-04,-7.914216258E-03, 7.955437899E-02, 4.446251877E+02
        34,-1.823710627E-04,-7.902392186E-03, 7.963805646E-02, 4.429584285E+02
        35,-2.085128654E-04,-7.880889811E-03, 7.962968200E-02, 4.429584285E+02
        36,-2.016868530E-04,-7.847025990E-03, 7.962713391E-02, 4.429584285E+02
        37,-2.426053397E-04,-7.914216258E-03, 7.962536067E-02, 4.429546585E+02
         1,-2.574102109E-05, 7.940719835E-03, 9.329090267E-02, 3.302455876E+02
         2,-2.637320904E-05, 7.963835262E-03, 9.268227220E-02, 3.302957052E+02
         3,-5.211423195E-05, 7.951184176E-03, 9.298587590E-02, 3.302957052E+02
         4,-1.169731258E-04, 7.951684296E-03, 9.277196974E-02, 3.303096117E+02
         5,-3.908551298E-05, 7.956572808E-03, 9.235966206E-02, 3.304415307E+02
         6,-1.940398070E-04, 7.943745703E-03, 9.259852022E-02, 3.303389003E+02
         7,-1.169728785E-04, 7.951684296E-03, 9.236292541E-02, 3.304558356E+02
         8,-2.410431043E-04, 7.937666960E-03, 9.245067090E-02, 3.303834708E+02
         9,-1.940396614E-04, 7.943745703E-03, 9.236961603E-02, 3.304860625E+02
        10,-2.410430607E-04, 7.937666960E-03, 9.237518162E-02, 3.305321060E+02
        11,-2.407812717E-04, 7.912601344E-03, 9.237515181E-02, 3.278640158E+02
        12,-1.746601920E-04, 7.815767080E-03, 9.237360209E-02, 3.277602838E+02
        13,-1.803489431E-04, 7.902433164E-03, 9.236237407E-02, 3.278155333E+02
        14,-2.062513959E-04, 7.879284211E-03, 9.237077832E-02, 3.278155333E+02
        15,-2.003122208E-04, 7.845401764E-03, 9.237354994E-02, 3.278155333E+02
        16,-2.407812863E-04, 7.912601344E-03, 9.245064110E-02, 3.277532857E+02
        17,-1.163251145E-04, 7.796115242E-03, 9.236889333E-02, 3.277254448E+02
        18,-1.746597554E-04, 7.815767080E-03, 9.249358624E-02, 3.276486830E+02
        19,-2.590237273E-05, 7.731511723E-03, 9.237710387E-02, 3.275905210E+02
        20,-7.800525782E-05, 7.734337822E-03, 9.237938374E-02, 3.274954934E+02
