"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
1 629.720117848115 630.4720458984375 -0.720414214383185 9877370.79147573
2 692.6921044352802 693.394287109375 -0.1656899993353523 9880455.75362212
3 761.9613122048602 762.6849975585938 -0.1062991929940758 9885537.526503349
4 815.5882893863084 838.9046630859375 -0.2221302095344839 9890998.861520898
5 812.0846287372157 922.7459106445313 8503.789708369919 9897228.442870913
6 819.963903248059 1014.970581054688 8898.2932550564 9900506.892174488
7 820.7626358583638 1074.465209960938 10049.56237949509 9903226.067729341
8 820.5274483036062 1097.812133789063 10860.1169425109 9905733.488745769
9 819.5486822771194 1107.625244140625 11560.40371903615 9907004.918127436
10 818.3014593129487 1113.636474609375 11976.52052252515 9907760.618099745
11 815.7542297730562 1116.359741210938 12349.87108116572 9909950.865376148
12 813.4659934559214 1117.595947265625 12676.10626913464 9910613.24870397
13 810.3953955805704 1117.455078125 12972.70659085282 9911668.83979628
14 807.2788212736619 1115.831176757813 13208.50129775538 9912170.627628194
15 804.5283644127904 1114.01806640625 13367.97014822347 9912578.149743117
16 801.4763763900389 1111.504150390625 13548.26412993147 9912961.087288043
17 798.2678324820943 1108.32177734375 13727.51113538597 9913868.619403152
18 795.7696621514915 1105.586791992188 13844.45766424404 9914147.690317789
19 793.8722621919117 1103.417358398438 13921.73730919754 9914811.018854894
20 792.4296168116963 1101.618530273438 13980.45552026902 9915017.8253977
21 791.0455148248342 1099.823486328125 14026.27478143333 9915264.492308268
22 790.0074776730072 1098.48583984375 14048.31154195746 9915422.025049899
23 789.0871677867683 1097.291748046875 14086.12145952828 9915620.15132202
24 788.2883711142276 1096.238037109375 14119.042906263 9915853.621248089
25 787.6412077993785 1095.36376953125 14143.38154647369 9915976.347078543
26 786.9839805282543 1094.489013671875 14171.59985863323 9916137.890861658
27 786.3383309028014 1093.72314453125 14196.01551369528 9916831.773790602
28 785.8618091101517 1093.10546875 14222.35858530494 9916911.090936987
29 785.4573385183656 1092.534790039063 14239.95417644767 9917016.835402997
30 785.174937356526 1092.11181640625 14245.37778723001 9917093.498885939
31 784.9805041764884 1091.8251953125 14252.22152421324 9917179.065116988
32 784.7613237418522 1091.540771484375 14260.37843222481 9917263.04633523
33 784.5929037886165 1091.29296875 14261.27244024905 9917327.776494974
34 784.4651798815647 1091.1162109375 14259.76504504921 9917391.784258809
35 784.3594812800593 1090.964233398438 14261.06081979992 9917451.050116612
36 784.3560769317945 1090.88330078125 14255.44513616412 9917577.428805014
37 784.3162520469905 1090.798706054688 14249.21133238647 9917620.246776411
38 784.2325598433476 1090.688232421875 14245.30804109966 9917662.296548784
39 784.2601225999916 1090.669189453125 14234.33945753008 9917705.392117145
40 784.3294693223377 1090.70849609375 14225.95964109199 9917742.842116062
41 784.3272622700404 1090.708374023438 14227.82357992612 9917780.472635254
42 784.3466242999436 1090.719116210938 14226.08829287486 9917814.541837204
43 784.3572501909069 1090.729614257813 14218.11857568421 9917836.43737812
44 784.2845737639383 1090.669799804688 14215.35520112157 9917983.003664911
45 784.3306823801023 1090.695434570313 14209.44804093362 9917999.918344883
46 784.4314637982618 1090.781127929688 14202.22920237507 9918012.502619924
47 784.4866921967327 1090.84765625 14201.98669627781 9918023.722590186
48 784.4924631034511 1090.872314453125 14203.130357863 9918030.51456357
