"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
49 608.5051906843931 880.184326171875 30310.55178350067 9892956.249296578
50 608.6598900266475 880.3099365234375 30257.58613334011 9892968.591148157
51 608.7405075433896 880.3933715820313 30236.01742167391 9892978.302957306
52 608.7971742815107 880.4698486328125 30222.13003275918 9892985.747608596
53 608.8022673190101 880.5016479492188 30221.61761545928 9892992.081086863
54 608.8229363133509 880.5322265625 30214.8757947317 9893000.030132055
55 608.9373051058983 880.6177368164063 30179.1554525299 9893002.965022475
56 609.1340566563076 880.7909545898438 30116.18446036042 9893006.660869434
57 609.3012555262235 880.9664916992188 30068.84330415534 9893011.040885219
58 609.3851145363374 881.0816650390625 30050.17161590166 9893015.755061105
59 609.4138747372057 881.15234375 30047.43771727525 9893031.627690058
60 609.4775455234828 881.2391967773438 30037.3517851335 9893035.064507551
61 609.5765229198955 881.3327026367188 30012.91886148182 9893037.182337744
62 609.7495096093594 881.49609375 29964.99044819066 9893040.242968859
63 609.9218246375765 881.6621704101563 29918.8226195658 9893042.508875836
64 610.0579180381678 881.8294067382813 29881.26764896777 9893045.665417384
65 610.1042727809059 881.9168701171875 29874.12052183977 9893053.182543444
66 610.1621610174252 882.0011596679688 29862.99222808452 9893071.060592441
67 610.2445937582215 882.08935546875 29845.91249245013 9893072.537899435
68 610.3682443444128 882.212158203125 29814.78478847039 9893073.761527337
69 610.5391980089155 882.3768310546875 29771.41040974103 9893075.589325575
70 610.6837047101701 882.5394287109375 29734.60769700376 9893078.788594635
71 610.7658594654213 882.6614379882813 29717.75704057028 9893081.489787491
72 610.8400925233167 882.7655029296875 29705.98328742171 9893087.561526237
73 610.93199359968 882.87255859375 29688.28869573885 9893094.955462651
74 611.0345953948438 882.9876098632813 29666.90703559166 9893098.897257114
75 611.1653527646148 883.120849609375 29637.56965277988 9893106.807251411
76 611.3151437458104 883.2776489257813 29601.28229628952 9893109.176090235
77 611.408711994125 883.3943481445313 29581.4303075828 9893112.546688553
78 611.4769128543604 883.4888305664063 29568.9223867487 9893120.862839293
79 611.558069342666 883.5848388671875 29553.57010922159 9893124.14080254
80 611.6397130296197 883.6788330078125 29537.82052182083 9893128.100284336
81 611.7448136714847 883.794677734375 29516.20016927876 9893130.695289014
82 611.8591714860797 883.9124145507813 29492.03932924563 9893132.664674936
83 611.969095953645 884.0413818359375 29467.09108227698 9893137.674286999
