"report-file-0"
"Iteration" "cs-htc etc.."
("Iteration" "cs-htc" "cs-temp" "max-temp" "p-in")
1 -0.6689822976093772 739.8067130189374 740.277099609375 9787525.639262358
2 -0.1636590716738204 813.7873417361883 814.2280883789063 9793317.542736836
3 -0.1262393108050671 843.0202625485542 895.6217041015625 9801525.408038201
4 4761.321238960368 838.8891827723128 968.464111328125 9806215.64049088
5 5733.65710406085 835.1954486137158 987.2455444335938 9811550.888549963
6 6256.804462887711 832.0969525721281 994.6458740234375 9817183.584073922
7 6723.524062083309 828.6953847924513 998.44970703125 9820755.472356558
8 7198.367218391151 824.8499480997034 999.2921752929688 9822599.404212702
9 7532.549732761473 821.8017159790097 999.0779418945313 9824440.093417952
10 7692.512644204465 819.2375119625805 998.2929077148438 9825504.456777584
11 7803.608941062606 816.7813121777959 996.9873046875 9826565.077170989
12 7909.015839429298 814.4439036204876 995.3377075195313 9827690.908895362
13 8011.643842221625 811.644171674787 992.8983154296875 9828912.626565831
14 8060.155237186797 809.3549839446955 990.6854858398438 9829576.275749236
15 8104.780774902043 807.1925163175423 988.4778442382813 9830332.974976512
16 8152.739502880005 805.0806035994821 986.2874145507813 9830919.735373978
17 8202.726609505908 803.197547646427 984.2495727539063 9831689.264088089
18 8241.002811327153 801.6701710911148 982.504150390625 9832169.848741502
19 8264.633757468298 800.3178396488589 980.8909301757813 9833389.592620885
20 8273.160473954904 799.2916465781033 979.6734008789063 9834917.130487613
21 8286.019002778574 798.470668380631 978.6668090820313 9835417.183337251
22 8299.398067288401 797.7418763420909 977.7713012695313 9835593.776369942
23 8316.439349971019 797.0282778550073 976.8878784179688 9835782.689641466
24 8329.615309229168 796.3990087106242 976.0989990234375 9836038.501897782
25 8338.560275056896 795.8894244467433 975.4658813476563 9836232.32445256
26 8348.080490683398 795.453867683139 974.92333984375 9836356.520764258
27 8354.816535002814 795.0891021493898 974.4586791992188 9836535.569415577
28 8357.860975395699 794.8000920978723 974.0786743164063 9836639.630252894
29 8357.921510700882 794.5615118465855 973.7635498046875 9837131.479689976
30 8356.790064401777 794.3954959896663 973.532958984375 9837465.924650343
31 8356.980605140267 794.2816139633819 973.3709716796875 9837542.31450389
32 8357.569314725908 794.1576184514928 973.216064453125 9837637.803741388
33 8357.260893752496 794.0452940799229 973.0823974609375 9837703.831341779
34 8356.912339290229 793.958519875049 972.9713134765625 9837758.95229204
35 8355.805081872579 793.9039665888719 972.889892578125 9837836.846583171
36 8353.005628930345 793.9054359538281 972.8543090820313 9837897.06576038
37 8350.052649931253 793.903961895213 972.8320922851563 9837943.663983965
38 8349.036682979724 793.8649989451244 972.7874755859375 9837993.508327989
39 8346.6112650264 793.8429493344403 972.7568969726563 9838045.837751258
40 8343.682050929188 793.8521799134591 972.7499389648438 9838115.522432882
41 8341.798490718049 793.872299685551 972.7579345703125 9838161.253945842
42 8339.671721172948 793.9128568768382 972.7824096679688 9838198.363954645
43 8333.367295072749 793.9803848535366 972.8356323242188 9838223.741999734
44 8328.300708093515 793.9962859482343 972.85791015625 9838322.840143096
45 8325.75595731807 794.0095524405029 972.8753051757813 9838344.95892594
46 8322.822697720352 794.0603013213118 972.9181518554688 9838373.2103978
47 8320.807095829039 794.113764511982 972.969482421875 9838392.447281217
48 8320.723401137991 794.1495737346255 973.0103149414063 9838406.323901001
49 8317.469050966345 794.2074801492681 973.0660400390625 9838422.58479937
50 8312.053596586029 794.2515331460669 973.1121215820313 9838450.653297707
51 8307.949919689869 794.2912713604094 973.1596069335938 9838473.873714957
52 8305.450789911843 794.3486359219703 973.2164916992188 9838487.509377711
53 8303.327034120097 794.4143509551861 973.2816162109375 9838497.060049236
54 8303.273787952881 794.464821780072 973.3419189453125 9838503.512077462
55 8303.11077148482 794.5054314857676 973.3893432617188 9838520.859158145
56 8299.799926493926 794.5597040472529 973.44580078125 9838523.686467836
57 8295.898911488723 794.603870353209 973.4926147460938 9838530.228028944
58 8292.463749728238 794.6613088396097 973.55224609375 9838537.298529694
59 8290.361378995074 794.7228343983709 973.6190795898438 9838562.084254345
60 8289.676616974632 794.7792320147641 973.6839599609375 9838572.356539443
61 8289.458617862232 794.8191741095209 973.7316284179688 9838579.211888801
62 8287.824807038147 794.8610745627238 973.7779541015625 9838584.51012045
63 8284.413075605042 794.9159698750725 973.8343505859375 9838589.535786077
64 8280.675938977061 794.9769826672419 973.8953857421875 9838597.36458645
65 8277.776807211434 795.0385128767107 973.9601440429688 9838606.870698825
66 8276.482512563514 795.098459534089 974.02880859375 9838623.251525767
67 8276.640698249217 795.1409454720559 974.0819091796875 9838648.339731196
68 8276.547885567436 795.1786290928119 974.1288452148438 9838653.635212492
69 8275.033056073094 795.2257971193801 974.177978515625 9838658.891283313
70 8271.647797606543 795.2809431186314 974.2316284179688 9838689.426760467
71 8268.16041839239 795.3355436701279 974.2852172851563 9838698.196067125
72 8265.970188839177 795.3857791399664 974.3400268554688 9838705.984926643
73 8265.285734137855 795.4316836648011 974.3966674804688 9838715.073889023
74 8265.694612095727 795.4684424601867 974.44384765625 9838723.19656009
75 8265.433550527876 795.5056562765391 974.4867553710938 9838728.840033669
76 8263.282819386317 795.5557440511625 974.536376953125 9838738.442133563
77 8260.334263411462 795.6062105224861 974.5847778320313 9838745.217557756
78 8257.67352313941 795.658762703048 974.6417236328125 9838755.254099134
79 8256.827248164715 795.6998214499737 974.689208984375 9838764.648670368
80 8256.658312900279 795.7337251914911 974.7313842773438 9838774.445301432
81 8256.549210891986 795.7681667748105 974.7737426757813 9838783.170013569
82 8255.852574090806 795.8042723380603 974.8123779296875 9838830.178011315
83 8253.871693016432 795.846745037353 974.853271484375 9838837.043488279
84 8251.548590239388 795.8923599459391 974.9016723632813 9838842.991491631
85 8250.400330744529 795.931616693762 974.947021484375 9838847.854894867
86 8250.097905508526 795.9638043554123 974.9869384765625 9838853.691602288
87 8250.266321082678 795.9880336508107 975.0171508789063 9838857.646716457
88 8249.807338493076 796.0170835162405 975.0503540039063 9838861.403655907
89 8248.641389916544 796.0511880272597 975.0850219726563 9838865.861857601
90 8246.807962466539 796.0881993862346 975.1223754882813 9838870.020072432
91 8245.245563191203 796.122249018154 975.1591186523438 9838876.765239414
92 8244.392260875042 796.1493290916203 975.18994140625 9838883.712827379
93 8243.897858076196 796.1727088506218 975.2179565429688 9838889.256840736
94 8243.477324668836 796.1971921727655 975.246826171875 9838894.692163585
95 8242.820112673433 796.2219931179781 975.2723999023438 9838901.789127434
96 8241.354257334251 796.2532535663493 975.3043823242188 9838907.584640469
97 8240.003370518882 796.2836929744985 975.3364868164063 9838912.377032852
98 8238.943298989108 796.3112399985225 975.3673706054688 9838917.304344028
99 8238.353816005949 796.333238404728 975.3927001953125 9838922.304090733
100 8237.796022045432 796.3554490498298 975.4190063476563 9838926.771795515
101 8237.312539104021 796.3779321390887 975.444091796875 9838931.658559293
102 8236.525714726993 796.4002162040775 975.466796875 9838935.800534748
103 8235.315487232217 796.4262073627085 975.4940795898438 9838939.774494991
104 8234.353469759164 796.4502424023292 975.520263671875 9838949.336896392
105 8233.579581350488 796.4722617440456 975.5452270507813 9838953.717609154
106 8233.03961531773 796.4917500969733 975.5678100585938 9838957.433867073
107 8232.543810759553 796.5098216192106 975.5885009765625 9838966.579319192
108 8231.937854992851 796.5286990617924 975.6089477539063 9838969.816067642
109 8231.091893506846 796.5514915489393 975.6338500976563 9838973.534733424
110 8230.519763511407 796.5684382761382 975.6513671875 9838976.847006243
111 8229.6249300852 796.5859865218744 975.670654296875 9838985.107272301
112 8228.991545689565 796.6021147252128 975.6888427734375 9838990.096709954
113 8228.452336578181 796.6172545418133 975.7059326171875 9838993.371183448
114 8227.922051506112 796.6319852753174 975.7222900390625 9838998.801036283
115 8227.293578698514 796.6484989515335 975.7400512695313 9839001.925719941
116 8226.685388211165 796.6648458291323 975.7583618164063 9839014.459722634
117 8226.225115623753 796.6774098932067 975.7715454101563 9839015.724799301
118 8225.537728905876 796.6909126683545 975.786376953125 9839017.356337788
119 8224.954644045814 796.7058427497336 975.8033447265625 9839018.629223078
120 8224.575663156949 796.7183012000426 975.8171997070313 9839022.738527494
121 8224.083525045575 796.73087483676 975.8309326171875 9839024.166820394
122 8223.569287695116 796.7434983616754 975.844482421875 9839025.857444808
123 8223.000628365318 796.7572624570627 975.85986328125 9839027.218961002
124 8222.611513141937 796.7672532399772 975.8701782226563 9839028.286424842
125 8221.957003445315 796.7792986129664 975.883056640625 9839029.42095037
126 8221.460445334957 796.7907921259782 975.8955078125 9839030.349658372
127 8220.965632842583 796.8027670234061 975.9088745117188 9839031.443861268
128 8220.531100814589 796.8142693561032 975.9215087890625 9839033.356737537
129 8220.089669802272 796.8246145766636 975.9324951171875 9839034.520038901
130 8219.583877954488 796.8350054383079 975.9435424804688 9839036.338822434
131 8219.090824102872 796.8457514365368 975.9553833007813 9839037.488536041
132 8218.672458596067 796.8559980250697 975.9666748046875 9839038.904831748
133 8218.253551306612 796.8660567869192 975.9779052734375 9839040.238725578
134 8217.87680635897 796.875210121387 975.9878540039063 9839041.515055949
135 8217.479365588801 796.8836767069882 975.996826171875 9839042.661601327
136 8217.034646256498 796.8926824053949 976.006591796875 9839044.663314972
137 8216.660005405907 796.9012057341989 976.015869140625 9839047.256215815
138 8216.301852363429 796.9089903763002 976.024169921875 9839048.433577474
139 8215.916028427613 796.9166780501607 976.0323486328125 9839049.471944742
140 8215.546505991309 796.9246714554271 976.0411987304688 9839050.49125885
141 8215.23442885519 796.932224584858 976.0494995117188 9839051.860171968
142 8214.922027127683 796.9394503494267 976.0574340820313 9839053.496032907
143 8214.617931657904 796.9462505068128 976.0648803710938 9839055.489641614
144 8214.322542079959 796.9527280112545 976.0719604492188 9839057.337203911
145 8214.036803026556 796.9589159701698 976.0787353515625 9839058.434331557
146 8213.769636796629 796.9644947570674 976.0846557617188 9839059.733296974
147 8213.481676597479 796.9700091950685 976.0905151367188 9839060.770588402
148 8213.204550889293 796.9756862694478 976.0967407226563 9839062.81153642
149 8212.971955666329 796.9808069796385 976.1022338867188 9839063.848354761
150 8212.712738845865 796.9858358159664 976.1075439453125 9839064.737057429
151 8212.457302092977 796.9910478084672 976.11328125 9839065.601241911
152 8212.234887350509 796.9959977916869 976.1187133789063 9839066.59433282
153 8212.0123262222 797.0007137306196 976.1238403320313 9839067.458792446
154 8211.794583684014 797.0052516694151 976.1287841796875 9839069.063726489
155 8211.584531121489 797.0095024270889 976.1334228515625 9839069.892818339
156 8211.382453680211 797.013566508196 976.1378173828125 9839071.049402742
157 8211.193417368311 797.0172124859787 976.1416625976563 9839072.085083891
158 8210.984659632906 797.0211214390059 976.1459350585938 9839073.535744527
159 8210.813837762018 797.0246986473726 976.1498413085938 9839074.34582386
160 8210.638793752832 797.0281486438981 976.153564453125 9839075.288722873
161 8210.473769024446 797.031260133517 976.1567993164063 9839076.079579715
162 8210.293092502874 797.0345509644374 976.160400390625 9839076.967967559
163 8210.14157538536 797.03748325587 976.1634521484375 9839077.719076972
164 8209.976750463315 797.0403435246769 976.1664428710938 9839078.690513978
165 8209.814828305834 797.043333266332 976.1697387695313 9839079.549493283
166 8209.67419651262 797.046143443266 976.1727294921875 9839080.279551638
167 8209.533193098452 797.0488617254445 976.1756591796875 9839081.002928203
168 8209.395192740229 797.051452295416 976.178466796875 9839081.901326764
169 8209.262703891682 797.0538283873815 976.180908203125 9839083.167887436
170 8209.120187527262 797.0562749991057 976.1835327148438 9839084.464618891
171 8208.999203313893 797.0585417287504 976.1859741210938 9839085.406687848
172 8208.882313920974 797.0606897643397 976.1882934570313 9839086.14918755
173 8208.770707161277 797.062635736791 976.1903686523438 9839087.045106601
174 8208.653667610031 797.0645496943504 976.1923828125 9839087.756209614
175 8208.542356503709 797.0664132945357 976.1943359375 9839088.428061243
176 8208.434736559781 797.0682546688116 976.1962280273438 9839089.805293841
177 8208.329855297616 797.0700599090018 976.1982421875 9839090.772252072
178 8208.241393804645 797.0716054775064 976.199951171875 9839093.555798566
179 8208.15693316847 797.073117998274 976.2015380859375 9839094.150418032
180 8208.075790290271 797.0744201877293 976.2029418945313 9839094.739553453
181 8207.990014632267 797.0757341396315 976.204345703125 9839095.420584455
182 8207.913842790564 797.0769826450678 976.2056884765625 9839096.412621608
183 8207.84033932073 797.0781043453239 976.2069091796875 9839097.12848248
184 8207.769015723306 797.0791571368217 976.2080078125 9839097.637230221
185 8207.701019556976 797.080123546697 976.2090454101563 9839098.419125328
186 8207.636128058457 797.080995268784 976.2099609375 9839099.280337362
187 8207.568638620574 797.0818741933145 976.2108764648438 9839100.489872327
188 8207.507804582125 797.08272366521 976.2117919921875 9839100.924044685
189 8207.447284457512 797.0835413243623 976.212646484375 9839101.474265086
190 8207.387665612703 797.084319096243 976.2134399414063 9839102.121338962
191 8207.330333382342 797.08500505596 976.214111328125 9839102.525297508
192 8207.272577839922 797.0856802662032 976.2147827148438 9839102.923745399
193 8207.218854222898 797.086318749617 976.2154541015625 9839103.328363067
194 8207.166484385067 797.0869270434287 976.216064453125 9839103.681426616
195 8207.115803224115 797.0875008790752 976.2166748046875 9839104.559907086
196 8207.069611946617 797.0879046774357 976.2171020507813 9839106.969275992
197 8207.023325886339 797.0883983453448 976.2175903320313 9839107.192064568
198 8206.982020368549 797.0888346564984 976.218017578125 9839107.678023439
199 8206.942045842634 797.0892436944511 976.2184448242188 9839107.937983159
200 8206.902031047139 797.0896483404758 976.2188110351563 9839108.160954399
201 8206.862988703566 797.0900372728869 976.2191772460938 9839108.352925882
202 8206.82384060044 797.0904088261101 976.2195434570313 9839108.607221304
203 8206.783714712659 797.090804298884 976.2199096679688 9839108.940629497
204 8206.743315307436 797.0912036117421 976.2202758789063 9839109.324006986
205 8206.704237616061 797.0915944869612 976.220703125 9839109.65894001
206 8206.666076323878 797.0920056291139 976.2210693359375 9839110.365790844
207 8206.629752333582 797.0923593942903 976.221435546875 9839110.715353223
208 8206.594648698907 797.0927251385239 976.2218017578125 9839111.054418841
209 8206.561305334089 797.0930859578963 976.2221069335938 9839111.536855912
210 8206.528541944894 797.0934328968915 976.2224731445313 9839111.922578581
211 8206.497299051678 797.0937497865145 976.2227783203125 9839112.85056092
212 8206.467068212911 797.0940559722359 976.2230834960938 9839113.322190383
213 8206.439107886916 797.0943523704663 976.223388671875 9839114.134047488
214 8206.414267218301 797.0945857997953 976.2235717773438 9839114.672656629
215 8206.398578114102 797.0944869574707 976.2235107421875 9839118.60623955
216 8206.381055440661 797.0945949017628 976.2236328125 9839118.961992012
217 8206.370084278567 797.0946243302492 976.2236938476563 9839119.327297116
218 8206.360023775536 797.094598608157 976.2236328125 9839119.647815026
219 8206.350428235915 797.0945468447394 976.2235717773438 9839119.978422878
220 8206.34065234246 797.0944780328844 976.2235107421875 9839120.366725162
221 8206.32969783079 797.0944186516846 976.2234497070313 9839121.039253324
222 8206.319917781375 797.0943005612115 976.2232666015625 9839121.309179667
223 8206.30966192738 797.094184505367 976.22314453125 9839121.670457777
224 8206.30105013066 797.0940510492736 976.2229614257813 9839122.004897173
225 8206.288975700161 797.0939905270664 976.222900390625 9839122.374212939
226 8206.277877143079 797.0939230594113 976.2227783203125 9839122.698961496
227 8206.264372689393 797.0938660196334 976.22265625 9839123.049949639
228 8206.250783503416 797.0938101677244 976.2225952148438 9839123.574879451
229 8206.237514635337 797.0937541691188 976.2224731445313 9839123.942938067
230 8206.226118029368 797.0936796350962 976.222412109375 9839124.463181857
231 8206.216258356635 797.0935749116338 976.2222900390625 9839125.015684789
232 8206.208116681291 797.0934502613497 976.2221069335938 9839125.34699329
233 8206.201537027355 797.0933242489181 976.2219848632813 9839125.694630118
234 8206.195386898187 797.0932035192158 976.2218017578125 9839126.038651796
235 8206.188757809134 797.0930960302203 976.2216796875 9839126.631965153
236 8206.183010756456 797.0929701248748 976.2215576171875 9839127.236095171
237 8206.177322840465 797.0927937710081 976.2213134765625 9839127.66585744
238 8206.171728858668 797.0926609961343 976.22119140625 9839128.123520756
239 8206.16953289736 797.092483279323 976.2210083007813 9839128.563138131
240 8206.165762201903 797.0923128693822 976.2207641601563 9839128.966993013
241 8206.16233493937 797.0921580992801 976.2205810546875 9839129.39269723
242 8206.158998161422 797.092002445502 976.220458984375 9839129.960042706
243 8206.159547952122 797.0918065076061 976.22021484375 9839130.304795982
244 8206.15918783867 797.0916225255573 976.2200317382813 9839130.669845872
245 8206.159295883052 797.0914514702172 976.2198486328125 9839131.123873798
246 8206.157831380393 797.0912862384073 976.2196044921875 9839131.672944754
247 8206.156833916848 797.091084771544 976.2194213867188 9839132.135202093
248 8206.153937110343 797.0909115871322 976.2191772460938 9839132.653147392
249 8206.152518292565 797.0907115901815 976.218994140625 9839133.836453652
250 8206.152698041808 797.0905330117031 976.21875 9839134.478753239
251 8206.154577731295 797.0903184299422 976.2185668945313 9839135.099449743
252 8206.157063755791 797.0901090876602 976.2183227539063 9839135.642580859
253 8206.161084608777 797.08985107313 976.218017578125 9839136.28599252
254 8206.162840110752 797.089638488007 976.2178344726563 9839136.853532387
255 8206.170987174277 797.0892446358267 976.2174072265625 9839139.122768091
256 8206.175598322134 797.0889222868004 976.217041015625 9839139.668722805
257 8206.184318066813 797.0885668163797 976.2166748046875 9839140.27401671
258 8206.197413977725 797.0880548147526 976.2161865234375 9839142.739140246
259 8206.215440129905 797.0874844422937 976.2156372070313 9839144.481787775
260 8206.236482989378 797.0868952501245 976.2150268554688 9839145.449145978
261 8206.260234143541 797.086262426022 976.21435546875 9839145.556494236
262 8206.280247579192 797.0856418624182 976.2137451171875 9839146.294566648
263 8206.301165511813 797.0850829423765 976.213134765625 9839146.377274362
264 8206.320626735022 797.0844546734396 976.2124633789063 9839147.472746549
265 8206.33524612988 797.0839073923587 976.2118530273438 9839147.753643226
