"report-file-0"
"Iteration" "cs-htc etc.."
("Iteration" "cs-htc" "cs-temp" "max-temp" "p-in")
1 -0.9626424897621714 519.3379105278126 520.1795043945313 9727960.610084711
2 -0.1435700697249369 571.2716922070546 572.0543823242188 9731167.693977963
3 -0.07546054008489246 628.398860378967 629.2023315429688 9733907.800434748
4 -0.1397581753642261 691.2387514983271 692.0650634765625 9737094.420417657
5 -0.1755513589293375 760.2760314757049 761.2141723632813 9738566.852082783
6 519.5715243504793 781.7661334324222 837.2780151367188 9740781.842843458
7 11088.95338448522 796.7757556116096 920.9478759765625 9741809.273466501
8 12431.74387036546 800.1374004826661 1012.983947753906 9742667.109592661
9 13117.8637529154 802.9197014316771 1104.958618164063 9743542.255786661
10 13498.37070037274 805.2761248126709 1133.6728515625 9744087.154408835
11 13797.93975605242 806.6879352320346 1149.87353515625 9744611.836070925
12 14131.97721627185 806.4882558033397 1158.828369140625 9746195.964322751
13 14460.64058171178 805.924323523688 1163.92041015625 9746613.019904898
14 14788.05126151612 804.3703557485829 1166.134643554688 9746901.864092303
15 15087.72784890165 801.8234092864626 1166.088134765625 9747283.692969531
16 15362.8620195436 798.8712239991079 1164.829345703125 9747493.046707066
17 15634.0657094859 795.6480401343598 1162.451293945313 9747725.272717023
18 15839.0938752143 792.8921987915537 1160.000854492188 9747997.70163714
19 15997.10714950832 790.45595064105 1157.52197265625 9748132.002271879
20 16101.02379976758 788.5998129744742 1155.545166015625 9748270.064431945
21 16208.70730256853 786.7594550940793 1153.401611328125 9748376.603482824
22 16280.79807646023 785.2394929626712 1151.614379882813 9748483.346457014
23 16362.52109102439 783.8001663226281 1149.878051757813 9748596.447463168
24 16441.41145351571 782.3466835169074 1148.055908203125 9748720.52759595
25 16506.18693350547 780.9852148200542 1146.362426757813 9748984.429703912
26 16560.09866133014 779.9270549506474 1144.992797851563 9749051.367237492
27 16610.65327669118 779.0124896405771 1143.807006835938 9749117.959407479
28 16652.21968195268 778.2755085850137 1142.868774414063 9749188.008763339
29 16689.37114961356 777.651220823722 1142.044799804688 9749249.09700226
30 16714.19510412938 777.0963228344986 1141.266235351563 9749317.472809212
31 16723.29135056474 776.7058496129317 1140.70751953125 9749404.510312509
32 16737.42273107981 776.3540328885648 1140.224609375 9749457.411447311
33 16749.89003739543 776.0136825610276 1139.786010742188 9749512.474876599
34 16762.49019660667 775.6902218210586 1139.379150390625 9749590.272647755
35 16774.30412020483 775.4227910945541 1139.025024414063 9749647.291310603
36 16779.22778793815 775.2579865035613 1138.736206054688 9749675.643519569
37 16775.43794652773 775.1735745605513 1138.544799804688 9749710.300626421
38 16777.58512094709 775.0209637224377 1138.335205078125 9749745.896991478
39 16780.66617265034 774.8632761319207 1138.13525390625 9749770.591560628
40 16781.23107691991 774.7648483968642 1137.988159179688 9749805.592850463
41 16783.48481207627 774.678302255865 1137.864990234375 9749819.460804764
42 16782.56396120903 774.6451279724665 1137.785400390625 9749831.923029849
43 16772.4380052146 774.6913352135406 1137.775390625 9749843.221532078
44 16763.16372871926 774.6817423505216 1137.751831054688 9749856.0253323
45 16761.00848521983 774.6276007775843 1137.69921875 9749871.188716026
46 16756.32089054695 774.6383424130446 1137.688842773438 9749880.27797094
47 16751.3643806677 774.6826791777083 1137.713500976563 9749888.204749594
48 16748.63919327791 774.7100420979092 1137.735717773438 9749895.16667638
49 16739.89307286636 774.7781126338691 1137.787109375 9749902.717531998
50 16728.67358154238 774.8237262498396 1137.832641601563 9749913.9596483
51 16723.04358023359 774.8218601232825 1137.850219726563 9749921.584781902
52 16718.97773047653 774.856798025475 1137.88720703125 9749928.691644846
53 16714.51082507427 774.9132093589344 1137.940673828125 9749989.639163008
54 16713.7827262198 774.9573760147059 1137.995239257813 9749991.756160093
55 16710.2494552659 775.0021583238371 1138.045532226563 9749993.548696807
56 16699.81597174632 775.0707018579171 1138.114013671875 9749995.144243434
57 16691.63689284634 775.1000304136617 1138.158569335938 9749999.18168656
58 16686.67111873012 775.13311250117 1138.200317382813 9750002.595112167
59 16681.28507556686 775.2081074385217 1138.274047851563 9750012.618307078
60 16677.10883392551 775.2879837609852 1138.361328125 9750014.756689638
61 16673.9518670161 775.352266586313 1138.439819335938 9750016.291672377
62 16666.37897623578 775.4359739896634 1138.527709960938 9750017.665930843
63 16655.39450836292 775.540553899684 1138.638793945313 9750019.610379163
64 16646.91725685453 775.6286735930829 1138.735107421875 9750022.517641678
65 16638.79892791739 775.7349956997253 1138.849365234375 9750025.873800751
66 16632.60008094767 775.8478095119381 1138.975952148438 9750029.226753799
67 16629.09805326977 775.9465101064085 1139.099853515625 9750045.893586384
68 16625.24111525312 776.0438268475688 1139.21923828125 9750047.845298169
69 16618.09372408834 776.1492932359282 1139.336791992188 9750057.100400712
70 16608.98144910146 776.2570303125041 1139.455932617188 9750059.524578769
71 16600.78511998682 776.3600907746711 1139.5693359375 9750062.049274243
72 16594.14212095699 776.4632691474004 1139.692260742188 9750081.818236254
