"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
1 523.1108321650272 523.8519287109375 -2.75190286357406 9575425.53683787
2 575.4218881574375 576.1112670898438 -0.4791463759927177 9583632.631515563
3 632.9640780263643 633.671875 -0.356597744459711 9593225.572427085
4 693.9875915251271 696.988525390625 -0.7522940812393722 9603329.571022602
5 697.7408596188627 766.6369018554688 6271.534591273027 9607013.838640446
6 700.4996977514863 843.2499389648438 14278.6570294457 9613443.800699348
7 704.07813913748 927.5239868164063 15401.65968928549 9617273.899402386
8 702.6190076896114 962.31640625 16939.65734452549 9621104.013992403
9 698.0353742993827 978.300537109375 18394.30530616546 9627806.796477407
10 694.9078949933911 986.3204956054688 19526.34967141829 9628872.132760294
11 691.1038519396053 988.1728515625 20594.04425508115 9629707.025970787
12 686.5094633637668 987.85546875 21606.25089825039 9630440.230866188
13 682.3670038012809 985.8719482421875 22316.59306084141 9631485.706857881
14 678.0570517269939 982.3316040039063 22896.28526362917 9632497.657051016
15 674.4217996152041 978.924560546875 23257.0183244205 9633293.353536008
16 670.9213950708323 975.3536987304688 23635.96234378675 9633929.205631251
17 668.5717188984318 972.7965087890625 23883.19308926972 9634603.216540642
18 666.9986287462135 970.8342895507813 24080.17515717572 9635302.172454396
19 665.9469076180377 969.4442749023438 24173.31583161366 9635804.697988052
20 665.0790430149918 968.2569580078125 24251.22493743974 9636265.934765272
21 664.1707068364125 967.0154418945313 24344.76946344521 9636926.716970766
22 663.4086468572708 966.0043334960938 24406.60841174127 9637583.793136861
23 662.9666109346165 965.250732421875 24453.36696453983 9637861.740281595
24 662.2074403415678 964.265869140625 24533.0506021305 9638103.640279787
25 661.5139822774136 963.3948974609375 24626.38708515349 9638476.363626989
26 660.8534720837736 962.5823974609375 24734.4512549689 9638774.711423095
27 660.2692854733004 961.8919067382813 24825.63538595948 9639029.886048608
28 659.6668631717652 961.1503295898438 24924.42193443874 9639238.39012685
29 659.2729424819209 960.5713500976563 24960.60208059357 9639420.67908196
30 659.0410191291055 960.196533203125 24956.38919415016 9639730.382771326
31 658.7917961212887 959.8551025390625 24973.37756294681 9639969.635700328
32 658.6177505091262 959.5639038085938 24981.23817198311 9640230.630186139
33 658.5740460666034 959.4216918945313 24965.53735771506 9640385.654830221
34 658.4413192138247 959.2576293945313 24966.90039418853 9640595.377963403
35 658.3376541503214 959.1090698242188 24961.5372101947 9640791.872899432
36 658.3025725900843 959.0164794921875 24941.98832112473 9641108.481148101
37 658.298124976191 958.9591674804688 24935.0605960634 9641230.794061586
38 658.2855478208579 958.9256591796875 24931.1542129573 9641458.917885227
39 658.2596342359735 958.8995361328125 24940.85518844485 9641534.494518023
40 658.1541765323502 958.8024291992188 24967.21960503701 9641594.619657703
41 658.1550105891963 958.7611083984375 24955.7917362546 9641642.65947473
42 658.2705814009802 958.82958984375 24911.11923479656 9641698.969967306
43 658.3468078388821 958.9022827148438 24893.57821052131 9641768.884532586
44 658.4243356203469 958.9895629882813 24888.14572977854 9641839.21473982
45 658.4340506673585 959.0302124023438 24892.2083211497 9641893.039990108
46 658.3581466423675 958.981201171875 24905.97346528356 9641941.689243101
47 658.3734000419748 958.9718017578125 24890.72982496257 9642006.854117036
48 658.5006313392901 959.0582885742188 24847.68291441637 9642088.915968569
49 658.6172174021129 959.1744995117188 24822.46972958212 9642142.013687374
50 658.6858204620073 959.2615356445313 24818.66907650813 9642222.278772008
51 658.7083615687437 959.3182983398438 24819.91013174014 9642281.321352955
52 658.7367933269359 959.3616333007813 24819.90866529139 9642354.960633295
53 658.7827301262271 959.4119873046875 24807.34845270896 9642382.784177631
54 658.8637940038456 959.48291015625 24781.71057962365 9642408.009481661
55 659.0600950653032 959.6507568359375 24742.19535897696 9642445.579249443
56 659.2129045494029 959.823974609375 24720.99897928827 9642502.292007189
57 659.2402991536915 959.8928833007813 24726.18972961053 9642568.212243635
58 659.2773743636149 959.9595947265625 24725.66363144821 9642603.090094479
59 659.3909384431158 960.0736083984375 24708.03037413177 9642617.132844949
60 659.4567313842284 960.1547241210938 24691.03695677944 9642629.761146702
61 659.619865679112 960.2981567382813 24659.67161852416 9642645.979154382
62 659.767656281497 960.4580078125 24637.29168662784 9642675.122115498
63 659.8271591402747 960.5574951171875 24636.30045981273 9642696.15741786
64 659.8950015932252 960.6578979492188 24633.45291633917 9642717.266454382
65 660.0041672417429 960.7698974609375 24621.34233334973 9642731.51573259
66 660.09912919048 960.87646484375 24604.4403059027 9642744.841851991
67 660.2713114633526 961.044921875 24574.54651193195 9642757.359561145
68 660.4664975065757 961.2451171875 24543.78302701522 9642775.905521216
69 660.5516518563941 961.377197265625 24536.35660282896 9642798.791697308
70 660.6133282661655 961.4782104492188 24535.23763605199 9642841.51146898
71 660.7105729751727 961.5877075195313 24526.16428517338 9642894.64084799
72 660.7899965092994 961.692138671875 24517.83437008496 9642907.302613664
73 660.8685655957786 961.7847900390625 24509.55184295169 9642935.700364619
74 661.0212640411706 961.92724609375 24483.95826033552 9642943.302313192
75 661.120674448245 962.0421142578125 24467.8736870102 9642955.221305978
76 661.1810128369007 962.1350708007813 24462.59808246994 9642966.542932598
77 661.2740598101562 962.2445068359375 24453.63381024493 9642978.707891613
78 661.363308755125 962.3504638671875 24443.64368201942 9642990.090237264
79 661.4276773371801 962.428955078125 24436.45790050252 9643000.161430938
80 661.5480911004399 962.5415649414063 24416.48720617884 9643006.795919046
81 661.6975838123025 962.697021484375 24392.21251152984 9643020.346536266
82 661.7846319158701 962.812255859375 24383.52547471956 9643035.48274486
83 661.8678284381517 962.9181518554688 24375.50385830266 9643051.211418582
84 661.9434097141957 963.0098876953125 24368.55312362705 9643063.752271086
85 661.9932531381933 963.080322265625 24365.46611797396 9643074.2634276
86 662.0772353342787 963.173583984375 24355.62517354478 9643082.261031477
87 662.1968288007721 963.2930297851563 24338.46310632089 9643089.611548426
88 662.271667829924 963.381103515625 24328.97818557152 9643099.259383837
89 662.3459587137226 963.4745483398438 24319.27506006744 9643109.926392172
90 662.4162046745234 963.5616455078125 24312.10992911547 9643123.044653723
91 662.4701274662184 963.6357421875 24307.84634026581 9643133.513295595
92 662.5161576498127 963.6924438476563 24304.77110849375 9643141.114891451
93 662.600118343912 963.7735595703125 24292.45225156978 9643149.475709334
94 662.6920421171269 963.8721923828125 24278.76246575193 9643166.587875212
95 662.7550987589817 963.94677734375 24271.62777289288 9643179.136818757
96 662.8191655286673 964.0266723632813 24263.8174362305 9643208.175371401
97 662.8653116120798 964.0873413085938 24260.05661474006 9643218.814838657
98 662.9078441796757 964.1452026367188 24256.71789513452 9643230.814123619
99 662.9618372910109 964.2059326171875 24251.04703678438 9643242.013200756
100 663.0349559766705 964.2807006835938 24240.62447788971 9643248.875919184
101 663.0989692265368 964.3519287109375 24231.94574484765 9643257.375982724
102 663.1484034227537 964.409912109375 24225.83592833519 9643268.370295994
103 663.197833365526 964.4722290039063 24219.85159258021 9643277.676629696
104 663.2335385398904 964.5191650390625 24217.43939246343 9643285.154113358
105 663.2720168792638 964.564453125 24213.75129799186 9643294.192352582
106 663.3299278733006 964.6260375976563 24206.06160511573 9643309.27308525
107 663.388623427307 964.6890869140625 24198.37190960413 9643318.004133839
108 663.4410092856886 964.75048828125 24191.53841071027 9643328.087577885
109 663.484422091972 964.8041381835938 24186.87988739169 9643340.299639929
110 663.5199770172725 964.8507690429688 24183.33917340325 9643350.468089463
111 663.5484746909311 964.8866577148438 24181.12463992042 9643359.272362959
112 663.5878218508598 964.9310913085938 24176.39623072863 9643364.662600305
113 663.6340933889229 964.979736328125 24170.34029639583 9643372.832118977
114 663.6802891944624 965.02978515625 24163.79254308533 9643380.431832056
115 663.715795284277 965.0706176757813 24159.0140351477 9643405.987140918
116 663.7509841555569 965.114501953125 24154.43628266534 9643411.77685309
117 663.7798619756952 965.1521606445313 24151.96026974694 9643416.749776924
118 663.8094521901028 965.1878051757813 24148.96723735204 9643422.410174221
119 663.8408474279212 965.2205810546875 24144.98601605008 9643440.083415139
120 663.8769134067894 965.258056640625 24139.38356640394 9643444.887148416
121 663.9147189381966 965.3006591796875 24133.83096349852 9643451.754478386
122 663.9443947694435 965.337158203125 24130.17231666979 9643492.514211297
123 663.970557161237 965.37060546875 24127.20148592344 9643502.927857583
124 663.9944823523497 965.4008178710938 24124.74893946736 9643510.780335041
125 664.0204036697438 965.430908203125 24121.79189178766 9643512.384045338
126 664.0491444488124 965.46240234375 24118.02515664636 9643515.307072358
127 664.0783024277633 965.4944458007813 24113.92919240096 9643518.347616237
128 664.1037731323632 965.5227661132813 24110.28511018987 9643520.81355842
129 664.1293647619872 965.5533447265625 24106.53117204379 9643525.031951223
130 664.1502432654535 965.578125 24104.01409619652 9643532.994421592
131 664.1740230143504 965.606201171875 24100.73087294163 9643534.93386044
132 664.1969974911589 965.6310424804688 24097.76489602746 9643536.92938325
133 664.2239131604462 965.660888671875 24093.6650963315 9643541.177793639
134 664.2477344794672 965.6868286132813 24090.26048158535 9643548.890939478
135 664.2730524060751 965.7161865234375 24086.34209592717 9643551.666898074
136 664.2963704052102 965.7438354492188 24083.2585055214 9643555.450064853
137 664.3181731698031 965.769775390625 24080.36501930038 9643557.965617295
138 664.3401514779904 965.795166015625 24077.39521943485 9643561.002094159
139 664.3607092010982 965.8176879882813 24074.49456886436 9643563.509429209
140 664.3819488918565 965.8409423828125 24071.1482356442 9643565.710386747
141 664.4016916917781 965.8633422851563 24068.08219655543 9643578.713523421
142 664.4222024567789 965.887939453125 24065.09450004079 9643580.645063164
143 664.4385075188087 965.9075317382813 24063.12501491436 9643584.562185211
144 664.455977094488 965.9288330078125 24060.79465700483 9643586.860274183
145 664.4712120907207 965.9465942382813 24059.01535691092 9643588.602892572
146 664.4867367988591 965.9642944335938 24056.78276162319 9643590.345651835
147 664.5020844612786 965.981689453125 24054.53522099679 9643594.408414485
148 664.5188482260421 966.001220703125 24052.05834634277 9643596.284173427
149 664.5347023250757 966.019775390625 24049.89140817633 9643597.803802343
150 664.5489061375445 966.0357666015625 24047.84443036129 9643599.620788492
151 664.5634563619598 966.052001953125 24045.54920560127 9643602.007870944
152 664.5792778804704 966.0701904296875 24043.15797925293 9643606.733003616
153 664.5924613448013 966.0850830078125 24041.28040811935 9643622.558369165
154 664.6058760781398 966.100341796875 24039.14307051288 9643623.666549554
155 664.6179372709403 966.1145629882813 24037.37883194442 9643631.597515658
156 664.6303148521168 966.1298217773438 24035.71170329502 9643633.254583575
157 664.6415308494295 966.1436157226563 24034.45959903172 9643633.622149877
158 664.6516945188613 966.1560668945313 24033.24206121367 9643638.294889404
159 664.6615934959069 966.16796875 24031.96528909596 9643640.540210472
160 664.6706317842863 966.17822265625 24030.71780987243 9643640.557132924
161 664.6799391794009 966.1886596679688 24029.26123298187 9643641.025813179
162 664.6902215594832 966.200439453125 24027.69211842909 9643643.241947783
163 664.6995545786143 966.2107543945313 24026.35590988693 9643643.986628853
164 664.7100437765997 966.22265625 24024.7101747283 9643644.404560732
165 664.7195163957982 966.2330322265625 24023.35090874575 9643644.886946118
166 664.7299689061333 966.2449340820313 24021.7022598305 9643647.032906089
167 664.7400358203919 966.2564086914063 24020.27668454537 9643648.735881284
168 664.7497928814698 966.2676391601563 24018.84460433229 9643649.28428383
169 664.758949776074 966.2783813476563 24017.56130535656 9643649.816324558
170 664.7677958560212 966.2886962890625 24016.38241201418 9643650.384153325
171 664.7762655255627 966.2986450195313 24015.2653689103 9643651.062225876
172 664.7844786884382 966.3081665039063 24014.15153961734 9643651.914178291
173 664.7925033776578 966.3173828125 24013.03629961553 9643652.701776721
174 664.80042610635 966.3264770507813 24011.91799053723 9643653.40809916
175 664.8083143903403 966.33544921875 24010.79274508542 9643654.196588511
176 664.8161479635886 966.3443603515625 24009.67815025061 9643655.403960977
177 664.8238575777955 966.3530883789063 24008.58233099202 9643656.658429258
178 664.8314891140773 966.3617553710938 24007.50366473041 9643658.934728198
179 664.8386807980442 966.3699951171875 24006.48570890631 9643662.75593018
180 664.845946052181 966.37841796875 24005.47329599767 9643663.869651904
181 664.8527214587949 966.38623046875 24004.57309100287 9643665.123493874
182 664.8593481249876 966.3938598632813 24003.66620308242 9643666.46057409
183 664.8651299135528 966.400634765625 24002.88476935846 9643674.322792457
184 664.8710603643909 966.4075317382813 24002.09822456622 9643675.265895788
185 664.8766312069857 966.4140625 24001.38779005257 9643676.213636354
186 664.8828218317159 966.4214477539063 24000.60887914093 9643676.875971163
187 664.8873013488894 966.4267578125 24000.14720076647 9643680.851856634
188 664.8918761505671 966.4320678710938 23999.53423973597 9643681.437839491
189 664.8971109719261 966.438232421875 23998.87114076826 9643681.960723097
190 664.9012220818585 966.4429931640625 23998.42812794425 9643682.533393085
191 664.9059690136716 966.448486328125 23997.80307873129 9643683.284724139
192 664.90977395242 966.452880859375 23997.37562401154 9643684.098609932
193 664.9140961149661 966.4578857421875 23996.80396601153 9643684.829416364
194 664.9175428250511 966.4617919921875 23996.41980651514 9643685.722577997
195 664.9212046298667 966.466064453125 23995.93893324419 9643689.010151597
196 664.9242470789302 966.4695434570313 23995.60557960339 9643689.322802033
197 664.9277224917156 966.4735717773438 23995.17914165352 9643690.219522187
198 664.9304283808452 966.4766845703125 23994.91058471106 9643691.2525652
199 664.9335879219317 966.4803466796875 23994.53615743803 9643691.475806544
200 664.9361475005376 966.4832153320313 23994.2896844701 9643691.885600936
201 664.9391380118268 966.4866333007813 23993.94183450501 9643692.119863506
202 664.9416196733904 966.4893798828125 23993.69866778536 9643692.600160567
203 664.9444832484111 966.4926147460938 23993.36621845887 9643693.007230952
204 664.947129192997 966.49560546875 23993.10230252093 9643693.448626688
205 664.9496063237589 966.4983520507813 23992.85292271282 9643694.212338518
206 664.9519170470536 966.5009765625 23992.62003526206 9643694.747972632
207 664.9540428803418 966.50341796875 23992.41960881213 9643695.473445186
208 664.9557757774013 966.5054931640625 23992.27408321457 9643697.307679955
209 664.9573040423023 966.50732421875 23992.18052620057 9643698.35633583
210 664.9585654422847 966.5088500976563 23992.13886354911 9643698.6687853
211 664.9596563113586 966.5101318359375 23992.11346161468 9643698.873685652
212 664.9605843021071 966.51123046875 23992.10162721357 9643699.03668873
213 664.9615063765851 966.5122680664063 23992.08049628861 9643699.205492783
214 664.9623070213322 966.51318359375 23992.07532159759 9643699.376704352
215 664.9631053008236 966.5140380859375 23992.06061799513 9643699.383079024
216 664.9639083830255 966.514892578125 23992.04657879002 9643699.54451297
217 664.964667460657 966.515625 23992.03193794222 9643699.628384128
218 664.9653929008153 966.5164184570313 23992.022836558 9643699.697950637
219 664.9660228509558 966.5170288085938 23992.02490017126 9643699.723058
220 664.9665918368974 966.5176391601563 23992.03533961751 9643699.721044244
221 664.9670841494827 966.5181274414063 23992.05764458963 9643699.58264141
222 664.9675650163266 966.5186157226563 23992.08547706121 9643699.391530192
223 664.9680108102763 966.51904296875 23992.12322170866 9643699.172560357
224 664.9684971589046 966.51953125 23992.151121008 9643698.921059143
225 664.9689887036673 966.5199584960938 23992.17795477332 9643698.701572759
226 664.9695027412508 966.5204467773438 23992.19593916001 9643698.509146992
227 664.9700733090116 966.52099609375 23992.20643311717 9643698.368824381
228 664.9706762647127 966.5215454101563 23992.21761733999 9643698.347070903
229 664.9712802481887 966.5221557617188 23992.23417408835 9643698.518280506
230 664.971819449949 966.522705078125 23992.26111126846 9643698.67186603
